	winner	outcome	loser	duration	matchtype	date	city	state
6	Dean Ambrose	def. (pin)	Kane		&nbsp;	Oct 5th 2014	Allentown	Pennsylvania
0	Diego	def. (pin)	Heath Slater		&nbsp;	Oct 4th 2014	Trenton	New Jersey
1	Adrian Neville	def. (pin)	Tyler Breeze		&nbsp;	Oct 4th 2014	Trenton	New Jersey
2	Brie Bella	def.	Cameron		dance-off	Oct 4th 2014	Trenton	New Jersey
3	Kofi Kingston	def. (pin)	Goldust		&nbsp;	Oct 4th 2014	Trenton	New Jersey
4	Adam Rose	def. (pin)	"Damien ""Miz-dow"""		&nbsp;	Oct 4th 2014	Trenton	New Jersey
5	Mark Henry	def. (DQ)	Rusev		&nbsp;	Oct 4th 2014	Trenton	New Jersey
6	Dean Ambrose	def. (pin)	Kane		&nbsp;	Oct 4th 2014	Trenton	New Jersey
0	Jey Uso	def. (pin)	Erick Rowan		&nbsp;	Oct 4th 2014	Providence	Rhode Island
1	Sami Zayn	def. (pin)	Tyson Kidd		&nbsp;	Oct 4th 2014	Providence	Rhode Island
2	A. J. Lee	def. (pin)	Paige		2 out of 3 falls	Oct 4th 2014	Providence	Rhode Island
3	R-Truth	def. (pin)	Bo Dallas		&nbsp;	Oct 4th 2014	Providence	Rhode Island
4	Jack Swagger	def. (sub)	The Miz		&nbsp;	Oct 4th 2014	Providence	Rhode Island
5	Sheamus	def. (pin)	Bray Wyatt		&nbsp;	Oct 4th 2014	Providence	Rhode Island
6	Dolph Ziggler	def. (pin)	Cesaro		&nbsp;	Oct 4th 2014	Providence	Rhode Island
7	John Cena	def. (pin)	Seth Rollins		street fight	Oct 4th 2014	Providence	Rhode Island
0	Sheamus	def. (pin)	The Miz		&nbsp;	Oct 3rd 2014	Toronto	Ontario
1	A. J. Lee	def. (sub)	Paige		&nbsp;	Oct 3rd 2014	Toronto	Ontario
2	Dolph Ziggler	def. (pin)	Cesaro		&nbsp;	Oct 3rd 2014	Toronto	Ontario
3	Sami Zayn	def. (pin)	Tyson Kidd		&nbsp;	Oct 3rd 2014	Toronto	Ontario
4	Dean Ambrose	def. (pin)	Kane		&nbsp;	Oct 3rd 2014	Toronto	Ontario
5	R-Truth	def. (pin)	Bo Dallas		&nbsp;	Oct 3rd 2014	Toronto	Ontario
6	Jey Uso	def. (pin)	Bray Wyatt		6-person tag	Oct 3rd 2014	Toronto	Ontario
7	John Cena	def. (pin)	Seth Rollins		street fight	Oct 3rd 2014	Toronto	Ontario
0	Adrian Neville	def. (pin)	Tyler Breeze		dark &nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
1	Dolph Ziggler	def. (pin)	"Damien ""Miz-dow"""		&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
2	Paige	def. (pin)	Naomi		&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
3	Jey Uso	def. (pin)	Heath Slater		&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
4	Cesaro	def. (pin)	R-Truth		&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
5	Dean Ambrose	def. (DQ)	Kane		&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
0	Sami Zayn	def. (pin)	Xavier Woods		dark &nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
1	Cesaro	def. (pin)	Jack Swagger	10:08	&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
2	Tyson Kidd	def. (sub)	Kofi Kingston	05:18	&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
3	Brie Bella	def. (pin)	Layla	03:18	handicap tag	Sep 30th 2014	Milwaukee	Wisconsin
4	Bo Dallas	def. (DQ)	Mark Henry	01:59	&nbsp;	Sep 30th 2014	Milwaukee	Wisconsin
0	Dolph Ziggler	def. (pin)	The Miz	09:43	triple-threat	Sep 29th 2014	Chicago	Illinois
1	Layla	def. (pin)	Rosa Mendes	02:55	&nbsp;	Sep 29th 2014	Chicago	Illinois
2	Bo Dallas	def. (pin)	Mark Henry	01:43	&nbsp;	Sep 29th 2014	Chicago	Illinois
3	Brie Bella	def. (pin)	Cameron	02:57	handicap tag	Sep 29th 2014	Chicago	Illinois
4	Heath Slater	def. (pin)	Diego	02:09	&nbsp;	Sep 29th 2014	Chicago	Illinois
5	Alicia Fox	def. (pin)	A. J. Lee	01:27	&nbsp;	Sep 29th 2014	Chicago	Illinois
6	Sheamus	def. (pin)	"Damien ""Miz-dow"""	05:31	&nbsp;	Sep 29th 2014	Chicago	Illinois
7	Dean Ambrose	def. (DQ)	Kane	10:43	&nbsp;	Sep 29th 2014	Chicago	Illinois
0	Kofi Kingston	def. (pin)	Sin Cara		&nbsp;	Sep 29th 2014	Chicago	Illinois
1	Jimmy Uso	def. (pin)	Stardust		&nbsp;	Sep 29th 2014	Chicago	Illinois
0	Jey Uso	def. (pin)	Erick Rowan		&nbsp;	Sep 28th 2014	Moline	Illinois
1	Adrian Neville	def. (pin)	Tyson Kidd		&nbsp;	Sep 28th 2014	Moline	Illinois
2	Big E	def. (pin)	Diego		&nbsp;	Sep 28th 2014	Moline	Illinois
3	The Great Khali	def. (pin)	Heath Slater		handicap tag	Sep 28th 2014	Moline	Illinois
4	The Big Show	def. (pin)	Bray Wyatt		&nbsp;	Sep 28th 2014	Moline	Illinois
5	Natalya	def. (sub)	Paige		&nbsp;	Sep 28th 2014	Moline	Illinois
6	Sheamus	def. (pin)	Cesaro		&nbsp;	Sep 28th 2014	Moline	Illinois
7	John Cena	def. (pin)	Cesaro		&nbsp;	Sep 28th 2014	Moline	Illinois
0	R-Truth	def. (pin)	Stardust		&nbsp;	Sep 28th 2014	Toledo	Ohio
1	Sami Zayn	def. (pin)	Tyler Breeze		&nbsp;	Sep 28th 2014	Toledo	Ohio
2	Emma	def. (pin)	Alicia Fox		6-person tag	Sep 28th 2014	Toledo	Ohio
3	Mark Henry	def. (DQ)	Rusev		&nbsp;	Sep 28th 2014	Toledo	Ohio
4	Zack Ryder	def. (pin)	Fandango		&nbsp;	Sep 28th 2014	Toledo	Ohio
5	Jack Swagger	def. (sub)	Bo Dallas		&nbsp;	Sep 28th 2014	Toledo	Ohio
6	Dean Ambrose	def. (pin)	Randy Orton		&nbsp;	Sep 28th 2014	Toledo	Ohio
0	Jey Uso	def. (pin)	Erick Rowan		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
1	Adrian Neville	def. (pin)	Tyson Kidd		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
2	Kofi Kingston	def. (pin)	Diego		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
3	The Great Khali	def. (pin)	Heath Slater		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
4	The Big Show	def. (pin)	Bray Wyatt		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
5	Natalya	def. (sub)	Paige		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
6	Sheamus	def. (pin)	Cesaro		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
7	Dean Ambrose	def. (pin)	Randy Orton		&nbsp;	Sep 27th 2014	Atlantic City	New Jersey
0	R-Truth	def. (pin)	Stardust	09:00	&nbsp;	Sep 27th 2014	Youngstown	Ohio
1	Sami Zayn	def. (pin)	Tyler Breeze	09:53	&nbsp;	Sep 27th 2014	Youngstown	Ohio
2	Emma	def. (pin)	Alicia Fox	07:51	6-person tag	Sep 27th 2014	Youngstown	Ohio
3	Mark Henry	def. (DQ)	Rusev	08:17	&nbsp;	Sep 27th 2014	Youngstown	Ohio
4	Zack Ryder	def. (pin)	Fandango	06:22	&nbsp;	Sep 27th 2014	Youngstown	Ohio
5	Jack Swagger	def. (sub)	Bo Dallas	13:13	&nbsp;	Sep 27th 2014	Youngstown	Ohio
6	Dolph Ziggler	def. (pin)	Seth Rollins	18:50	&nbsp;	Sep 27th 2014	Youngstown	Ohio
0	Jey Uso	def. (pin)	Erick Rowan		&nbsp;	Sep 26th 2014	East Rutherford	New Jersey
1	Adrian Neville	def. (pin)	Tyson Kidd		&nbsp;	Sep 26th 2014	East Rutherford	New Jersey
2	Big E	def. (pin)	Diego		&nbsp;	Sep 26th 2014	East Rutherford	New Jersey
3	Natalya	def. (sub)	Paige		&nbsp;	Sep 26th 2014	East Rutherford	New Jersey
4	The Big Show	def. (pin)	Bray Wyatt		&nbsp;	Sep 26th 2014	East Rutherford	New Jersey
5	The Great Khali	def. (pin)	Heath Slater		handicap tag	Sep 26th 2014	East Rutherford	New Jersey
6	Sheamus	def. (pin)	Cesaro		&nbsp;	Sep 26th 2014	East Rutherford	New Jersey
7	Dean Ambrose	def. (pin)	Randy Orton		&nbsp;	Sep 26th 2014	East Rutherford	New Jersey
0	Adrian Neville	def. (pin)	Sami Zayn	04:24	dark &nbsp;	Sep 23rd 2014	Little Rock	Arkansas
1	Dean Ambrose	def. (pin)	The Miz	10:22	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
2	Cesaro	def.	Fernando	10:15	Battle Royal	Sep 23rd 2014	Little Rock	Arkansas
3	Jey Uso	def. (DQ)	Goldust	11:47	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
4	Layla	def. (pin)	Natalya	04:16	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
5	Dolph Ziggler	def. (pin)	Cesaro	06:19	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
6	The Big Show	def. (DQ)	Rusev	09:50	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
7	Dean Ambrose	def. (pin)	Kane	03:13	dark &nbsp;	Sep 23rd 2014	Little Rock	Arkansas
0	Tyler Breeze	def. (pin)	Vordell Walker	02:33	dark &nbsp;	Sep 23rd 2014	Little Rock	Arkansas
1	Diego	def. (pin)	Heath Slater	01:22	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
2	Paige	def. (pin)	Naomi	03:05	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
3	Kofi Kingston	def. (pin)	Bo Dallas	02:16	&nbsp;	Sep 23rd 2014	Little Rock	Arkansas
0	Dolph Ziggler	def. (pin)	The Miz	12:58	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
1	Jack Swagger	def. (sub)	Bo Dallas	03:15	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
2	Natalya	def. (sub)	Summer Rae	02:14	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
3	Dean Ambrose	def. (DQ)	Kane	05:31	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
4	Jey Uso	def. (pin)	Cesaro	15:39	6-person tag	Sep 22nd 2014	Memphis	Tennessee
5	Rusev	def. (sub)	Mark Henry	07:31	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
6	Adam Rose	def. (pin)	Heath Slater	03:07	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
7	A. J. Lee	def. (sub)	Nikki Bella	05:09	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
8	John Cena	def. (DQ)	Randy Orton	15:08	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
0	Naomi	def. (sub)	Alicia Fox	04:56	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
1	Kofi Kingston	def. (pin)	Justin Gabriel	09:16	&nbsp;	Sep 22nd 2014	Memphis	Tennessee
0	Goldust	def. (pin)	Jey Uso	12:47	&nbsp;	Sep 21st 2014	Nashville	Tennessee
1	Sheamus	def. (pin)	Cesaro	13:06	&nbsp;	Sep 21st 2014	Nashville	Tennessee
2	The Miz	def. (pin)	Dolph Ziggler	09:22	&nbsp;	Sep 21st 2014	Nashville	Tennessee
3	Seth Rollins	def. (forfeit)	Roman Reigns	00:31	&nbsp;	Sep 21st 2014	Nashville	Tennessee
4	Dean Ambrose	draw (NC)	Seth Rollins		&nbsp;	Sep 21st 2014	Nashville	Tennessee
5	Rusev	def. (sub)	Mark Henry	08:21	&nbsp;	Sep 21st 2014	Nashville	Tennessee
6	Randy Orton	def. (pin)	Chris Jericho	16:18	&nbsp;	Sep 21st 2014	Nashville	Tennessee
7	A. J. Lee	def. (sub)	Paige	08:39	three-way dance	Sep 21st 2014	Nashville	Tennessee
8	John Cena	def. (DQ)	Brock Lesnar	14:11	&nbsp;	Sep 21st 2014	Nashville	Tennessee
0	Dolph Ziggler	def. (pin)	The Miz		&nbsp;	Sep 20th 2014	Huntsville	Alabama
1	Sami Zayn	def. (pin)	Tyler Breeze		&nbsp;	Sep 20th 2014	Huntsville	Alabama
2	Mark Henry	def. (DQ)	Rusev		&nbsp;	Sep 20th 2014	Huntsville	Alabama
3	R-Truth	def. (pin)	Bo Dallas		&nbsp;	Sep 20th 2014	Huntsville	Alabama
4	Dolph Ziggler	def. (pin)	"Damien ""Miz-dow"""		&nbsp;	Sep 20th 2014	Huntsville	Alabama
5	Brie Bella	def. (pin)	Cameron		6-person tag	Sep 20th 2014	Huntsville	Alabama
6	The Big Show	def. (pin)	Seth Rollins		&nbsp;	Sep 20th 2014	Huntsville	Alabama
0	Cesaro	def. (pin)	Zack Ryder		&nbsp;	Sep 20th 2014	Lexington	Kentucky
1	The Great Khali	def. (pin)	Cesaro		&nbsp;	Sep 20th 2014	Lexington	Kentucky
2	Diego	def. (pin)	Heath Slater		&nbsp;	Sep 20th 2014	Lexington	Kentucky
3	Paige	def. (pin)	Natalya		2 out of 3 falls	Sep 20th 2014	Lexington	Kentucky
4	Adrian Neville	def. (pin)	Tyson Kidd		&nbsp;	Sep 20th 2014	Lexington	Kentucky
5	Sheamus	def. (pin)	Bray Wyatt		&nbsp;	Sep 20th 2014	Lexington	Kentucky
6	Jey Uso	def. (pin)	Goldust		three-way tag	Sep 20th 2014	Lexington	Kentucky
7	John Cena	def. (pin)	Kane		no countout no disqualification	Sep 20th 2014	Lexington	Kentucky
0	Cesaro	def. (pin)	Zack Ryder		&nbsp;	Sep 19th 2014	Charleston	West Virginia
1	The Great Khali	def. (pin)	Cesaro		&nbsp;	Sep 19th 2014	Charleston	West Virginia
2	Heath Slater	def. (pin)	Diego		&nbsp;	Sep 19th 2014	Charleston	West Virginia
3	Adrian Neville	def. (pin)	Tyson Kidd		&nbsp;	Sep 19th 2014	Charleston	West Virginia
4	Sheamus	def. (pin)	Bray Wyatt		&nbsp;	Sep 19th 2014	Charleston	West Virginia
5	Paige	def. (pin)	Natalya		2 out of 3 falls	Sep 19th 2014	Charleston	West Virginia
6	Jey Uso	def. (pin)	Goldust		triple-threat tag	Sep 19th 2014	Charleston	West Virginia
7	John Cena	def. (pin)	Kane		street fight	Sep 19th 2014	Charleston	West Virginia
0	Adrian Neville	def. (pin)	Konnor		dark &nbsp;	Sep 16th 2014	Biloxi	Mississippi
1	Jimmy Uso	def. (pin)	Stardust	01:59	&nbsp;	Sep 16th 2014	Biloxi	Mississippi
2	Dolph Ziggler	def. (pin)	Cesaro		&nbsp;	Sep 16th 2014	Biloxi	Mississippi
3	Adam Rose	def. (pin)	Heath Slater	02:58	&nbsp;	Sep 16th 2014	Biloxi	Mississippi
4	Bray Wyatt	def. (pin)	Diego	11:14	6-person tag	Sep 16th 2014	Biloxi	Mississippi
5	Paige	def. (pin)	Nikki Bella		&nbsp;	Sep 16th 2014	Biloxi	Mississippi
6	Bo Dallas	def. (pin)	Jack Swagger		&nbsp;	Sep 16th 2014	Biloxi	Mississippi
7	Rusev	def. (DQ)	Roman Reigns	09:28	&nbsp;	Sep 16th 2014	Biloxi	Mississippi
0	Kofi Kingston	def. (pin)	Tyler Breeze		dark &nbsp;	Sep 16th 2014	Biloxi	Mississippi
1	"Damien ""Miz-dow"""	def. (pin)	Dolph Ziggler	14:03	&nbsp;	Sep 16th 2014	Biloxi	Mississippi
2	Brie Bella	def. (pin)	Cameron	03:52	&nbsp;	Sep 16th 2014	Biloxi	Mississippi
3	Seth Rollins	def. (pin)	Big E	14:06	&nbsp;	Sep 16th 2014	Biloxi	Mississippi
0	Chris Jericho	def. (pin)	Kane	13:05	&nbsp;	Sep 15th 2014	Lafayette	Louisiana
1	Jack Swagger	def. (sub)	Bo Dallas	06:03	&nbsp;	Sep 15th 2014	Lafayette	Louisiana
2	Nikki Bella	def. (pin)	A. J. Lee	03:01	&nbsp;	Sep 15th 2014	Lafayette	Louisiana
3	The Big Show	def. (DQ)	Bray Wyatt	04:43	&nbsp;	Sep 15th 2014	Lafayette	Louisiana
4	Jey Uso	def. (pin)	Cesaro	13:01	6-person tag	Sep 15th 2014	Lafayette	Louisiana
5	Naomi	def. (sub)	Cameron	04:25	&nbsp;	Sep 15th 2014	Lafayette	Louisiana
6	Dolph Ziggler	def. (pin)	"Damien ""Miz-dow"""	05:13	&nbsp;	Sep 15th 2014	Lafayette	Louisiana
7	Roman Reigns	def. (pin)	Seth Rollins	11:27	&nbsp;	Sep 15th 2014	Lafayette	Louisiana
8	John Cena	def. (pin)	Bray Wyatt		dark 6-person tag	Sep 15th 2014	Lafayette	Louisiana
0	Erick Rowan	def. (pin)	Diego		&nbsp;	Sep 15th 2014	Lafayette	Louisiana
1	Sin Cara	def. (pin)	Justin Gabriel		&nbsp;	Sep 15th 2014	Lafayette	Louisiana
0	R-Truth	def. (pin)	Fandango		&nbsp;	Sep 14th 2014	Monroe	Louisiana
1	Sami Zayn	def. (pin)	Tyson Kidd		&nbsp;	Sep 14th 2014	Monroe	Louisiana
2	Brie Bella	def. (pin)	Alicia Fox		6-person tag	Sep 14th 2014	Monroe	Louisiana
3	Diego	def. (pin)	Konnor		&nbsp;	Sep 14th 2014	Monroe	Louisiana
4	Dolph Ziggler	def. (pin)	The Miz		triple-threat	Sep 14th 2014	Monroe	Louisiana
5	Adam Rose	def. (pin)	"Damien ""Miz-dow"""		&nbsp;	Sep 14th 2014	Monroe	Louisiana
6	Rusev	def. (sub)	Jack Swagger		&nbsp;	Sep 14th 2014	Monroe	Louisiana
7	Roman Reigns	def. (pin)	Randy Orton		street fight	Sep 14th 2014	Monroe	Louisiana
0	Sin Cara	def. (pin)	Heath Slater		&nbsp;	Sep 14th 2014	Boston	Massachusetts
1	The Great Khali	def. (pin)	Heath Slater		&nbsp;	Sep 14th 2014	Boston	Massachusetts
2	Mark Henry	def. (pin)	Cesaro		&nbsp;	Sep 14th 2014	Boston	Massachusetts
3	Paige	def. (pin)	Natalya		2 out of 3 falls	Sep 14th 2014	Boston	Massachusetts
4	Goldust	def. (pin)	Big E		&nbsp;	Sep 14th 2014	Boston	Massachusetts
5	Seth Rollins	def. (pin)	Chris Jericho		&nbsp;	Sep 14th 2014	Boston	Massachusetts
6	Adrian Neville	def. (pin)	Tyler Breeze		&nbsp;	Sep 14th 2014	Boston	Massachusetts
7	Jey Uso	def. (pin)	Bray Wyatt		6-person tag	Sep 14th 2014	Boston	Massachusetts
8	John Cena	def. (pin)	Kane		street fight	Sep 14th 2014	Boston	Massachusetts
0	R-Truth	def. (pin)	Fandango		&nbsp;	Sep 13th 2014	Jackson	Mississippi
1	Sami Zayn	def. (pin)	Tyson Kidd		&nbsp;	Sep 13th 2014	Jackson	Mississippi
2	Brie Bella	def. (pin)	Alicia Fox		6-person tag	Sep 13th 2014	Jackson	Mississippi
3	Diego	def. (pin)	Konnor		&nbsp;	Sep 13th 2014	Jackson	Mississippi
4	Dolph Ziggler	def. (pin)	The Miz		triple-threat	Sep 13th 2014	Jackson	Mississippi
