	winner	outcome	loser	duration	matchtype	date	city	state
5	Spike Dudley	def.	Goldust		&nbsp;	Apr 29th 2002	Buffalo	New York
6	Hulk Hogan	def. (DQ)	William Regal		&nbsp;	Apr 29th 2002	Buffalo	New York
0	Mr. Perfect	def.	Tommy Dreamer		&nbsp;	Apr 29th 2002	Buffalo	New York
1	D-Lo Brown	def.	Big Boss Man		&nbsp;	Apr 29th 2002	Buffalo	New York
2	Trish Stratus	def.	Molly Holly		&nbsp;	Apr 29th 2002	Buffalo	New York
3	Rob Van Dam	def.	Justin Credible		&nbsp;	Apr 29th 2002	Buffalo	New York
0	Al Snow	def.	Billy		6-person tag	Apr 23rd 2002	Peoria	Illinois
1	Randy Orton	def.	Hardcore Holly		&nbsp;	Apr 23rd 2002	Peoria	Illinois
2	Mark Henry	def.	Christian		&nbsp;	Apr 23rd 2002	Peoria	Illinois
3	Albert	def.	Edge		&nbsp;	Apr 23rd 2002	Peoria	Illinois
4	Chris Jericho	def. (pin)	Triple H		&nbsp;	Apr 23rd 2002	Peoria	Illinois
0	Chavo Guerrero	def.	The Hurricane		&nbsp;	Apr 23rd 2002	Peoria	Illinois
1	Lance Storm	draw (NC)	Hugh Morrus		&nbsp;	Apr 23rd 2002	Peoria	Illinois
2	Jazz	def.	Ivory		&nbsp;	Apr 23rd 2002	Peoria	Illinois
3	Faarooq	def.	Test		&nbsp;	Apr 23rd 2002	Peoria	Illinois
0	Brock Lesnar	def.	Matt Hardy		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
1	Rob Van Dam	def.	Mr. Perfect		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
2	Booker T.	def.	Bubba Ray Dudley		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
3	William Regal	def.	Shawn Stasiak		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
4	Steve Austin	draw (NC)	Scott Hall		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
0	Big Boss Man	def. (pin)	Crash Holly		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
1	Tommy Dreamer	def.	Justin Credible		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
2	Eddie Guerrero	def. (pin)	D-Lo Brown		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
3	Raven	def.	Steven Richards		&nbsp;	Apr 22nd 2002	St. Louis	Missouri
0	The Big Show	def.	Justin Credible		handicap tag	Apr 21st 2002	Kansas City	Missouri
0	Tajiri	def. (pin)	Billy Kidman	09:08	&nbsp;	Apr 21st 2002	Kansas City	Missouri
1	Scott Hall	def. (pin)	Bradshaw	05:43	&nbsp;	Apr 21st 2002	Kansas City	Missouri
2	Jazz	def. (sub)	Trish Stratus	04:29	&nbsp;	Apr 21st 2002	Kansas City	Missouri
3	Brock Lesnar	def.	Jeff Hardy	05:32	&nbsp;	Apr 21st 2002	Kansas City	Missouri
4	Kurt Angle	def. (pin)	Edge	13:25	&nbsp;	Apr 21st 2002	Kansas City	Missouri
5	Eddie Guerrero	def. (pin)	Rob Van Dam	11:43	&nbsp;	Apr 21st 2002	Kansas City	Missouri
6	The Undertaker	def. (pin)	Steve Austin	27:03	&nbsp;	Apr 21st 2002	Kansas City	Missouri
7	Billy	def. (pin)	Al Snow	05:58	&nbsp;	Apr 21st 2002	Kansas City	Missouri
8	Hulk Hogan	def. (pin)	Triple H	22:04	&nbsp;	Apr 21st 2002	Kansas City	Missouri
0	Al Snow	def. (pin)	Albert		6-person tag	Apr 16th 2002	Houston	Texas
1	Chavo Guerrero	def. (pin)	Billy Kidman		&nbsp;	Apr 16th 2002	Houston	Texas
2	Faarooq	def. (pin)	Test		&nbsp;	Apr 16th 2002	Houston	Texas
3	Hardcore Holly	def. (pin)	Diamond Dallas Page		&nbsp;	Apr 16th 2002	Houston	Texas
4	Hulk Hogan	draw (NC)	Chris Jericho		&nbsp;	Apr 16th 2002	Houston	Texas
0	The Godfather	def. (pin)	The Big Valbowski		&nbsp;	Apr 16th 2002	Houston	Texas
1	Christian	def. (pin)	Sho Funaki		&nbsp;	Apr 16th 2002	Houston	Texas
2	Lance Storm	draw (DCO)	Hugh Morrus		&nbsp;	Apr 16th 2002	Houston	Texas
0	Raven	def. (pin)	Bubba Ray Dudley		hardcore	Apr 15th 2002	College Station	Texas
1	Tommy Dreamer	def. (pin)	Raven		hardcore	Apr 15th 2002	College Station	Texas
2	Steven Richards	def. (pin)	Tommy Dreamer		hardcore	Apr 15th 2002	College Station	Texas
3	Bubba Ray Dudley	def. (pin)	Steven Richards		hardcore	Apr 15th 2002	College Station	Texas
4	The Big Show	def. (pin)	Shawn Stasiak		&nbsp;	Apr 15th 2002	College Station	Texas
5	Jacqueline	def. (pin)	Crash Holly		&nbsp;	Apr 15th 2002	College Station	Texas
6	Eddie Guerrero	def. (pin)	Rob Van Dam		&nbsp;	Apr 15th 2002	College Station	Texas
7	Trish Stratus	def. (pin)	Molly Holly		&nbsp;	Apr 15th 2002	College Station	Texas
8	Bradshaw	def. (pin)	Scott Hall		handicap tag	Apr 15th 2002	College Station	Texas
0	D-Lo Brown	def. (pin)	Justin Credible		&nbsp;	Apr 15th 2002	College Station	Texas
1	Tommy Dreamer	def. (pin)	Big Boss Man		&nbsp;	Apr 15th 2002	College Station	Texas
2	Mr. Perfect	def. (pin)	Steven Richards		&nbsp;	Apr 15th 2002	College Station	Texas
0	Tajiri	def. (pin)	The Hurricane		&nbsp;	Apr 9th 2002	Tucson	Arizona
1	Albert	def. (pin)	Scotty Too Hotty		&nbsp;	Apr 9th 2002	Tucson	Arizona
2	Chris Jericho	def. (pin)	Edge		&nbsp;	Apr 9th 2002	Tucson	Arizona
3	Al Snow	def. (pin)	Chuck		&nbsp;	Apr 9th 2002	Tucson	Arizona
4	Triple H	def. (pin)	Kurt Angle		&nbsp;	Apr 9th 2002	Tucson	Arizona
0	Sho Funaki	def. (pin)	Lance Storm		&nbsp;	Apr 9th 2002	Tucson	Arizona
1	Hugh Morrus	def. (pin)	Christian		&nbsp;	Apr 9th 2002	Tucson	Arizona
2	Billy Kidman	def. (pin)	Chavo Guerrero		&nbsp;	Apr 9th 2002	Tucson	Arizona
3	Diamond Dallas Page	draw (DCO)	Hardcore Holly		&nbsp;	Apr 9th 2002	Tucson	Arizona
0	Bubba Ray Dudley	def. (pin)	Goldust		hardcore	Apr 8th 2002	Phoenix	Arizona
1	X-Pac	def. (pin)	Kane		falls count anywhere	Apr 8th 2002	Phoenix	Arizona
2	Spike Dudley	def. (pin)	William Regal	00:03	&nbsp;	Apr 8th 2002	Phoenix	Arizona
3	The Undertaker	def. (pin)	Rob Van Dam		&nbsp;	Apr 8th 2002	Phoenix	Arizona
4	Molly Holly	def. (pin)	Trish Stratus		&nbsp;	Apr 8th 2002	Phoenix	Arizona
5	The Big Show	def. (pin)	Mr. Perfect		&nbsp;	Apr 8th 2002	Phoenix	Arizona
6	Steve Austin	def. (pin)	Scott Hall		&nbsp;	Apr 8th 2002	Phoenix	Arizona
0	Jeff Hardy	def.	Justin Credible		&nbsp;	Apr 8th 2002	Phoenix	Arizona
1	Goldust	def.	Shawn Stasiak		&nbsp;	Apr 8th 2002	Phoenix	Arizona
2	Crash Holly	def. (pin)	Jacqueline		&nbsp;	Apr 8th 2002	Phoenix	Arizona
3	Bradshaw	def. (pin)	Big Boss Man		&nbsp;	Apr 8th 2002	Phoenix	Arizona
0	Billy	def. (pin)	Albert		&nbsp;	Apr 2nd 2002	Rochester	New York
1	Christian	def. (pin)	Diamond Dallas Page		&nbsp;	Apr 2nd 2002	Rochester	New York
2	Edge	def. (DQ)	Kurt Angle		&nbsp;	Apr 2nd 2002	Rochester	New York
3	Billy Kidman	def. (pin)	Tajiri		&nbsp;	Apr 2nd 2002	Rochester	New York
4	Hardcore Holly	def. (pin)	Maven		&nbsp;	Apr 2nd 2002	Rochester	New York
5	The Rock	def. (pin)	Chris Jericho		&nbsp;	Apr 2nd 2002	Rochester	New York
0	Jazz	def. (sub)	Ivory		&nbsp;	Apr 2nd 2002	Rochester	New York
1	Faarooq	def. (pin)	Lance Storm		&nbsp;	Apr 2nd 2002	Rochester	New York
2	Chavo Guerrero	def. (pin)	Sho Funaki		&nbsp;	Apr 2nd 2002	Rochester	New York
0	Rob Van Dam	def. (pin)	Booker T.	06:40	&nbsp;	Apr 1st 2002	Albany	New York
1	Spike Dudley	def. (pin)	William Regal	03:44	&nbsp;	Apr 1st 2002	Albany	New York
2	Bubba Ray Dudley	def. (pin)	Raven	04:07	hardcore	Apr 1st 2002	Albany	New York
3	Jeff Hardy	def. (pin)	Big Boss Man	03:54	&nbsp;	Apr 1st 2002	Albany	New York
4	Trish Stratus	def.	Terri	01:16	"""Paddle on a Pole"""	Apr 1st 2002	Albany	New York
5	Kane	def. (DQ)	X-Pac	05:31	&nbsp;	Apr 1st 2002	Albany	New York
0	The Big Show	def. (pin)	Goldust		&nbsp;	Apr 1st 2002	Albany	New York
1	Jazz	def. (pin)	Jacqueline		&nbsp;	Apr 1st 2002	Albany	New York
2	Scott Hall	def. (pin)	Crash Holly		&nbsp;	Apr 1st 2002	Albany	New York
3	Shawn Stasiak	def. (pin)	Tommy Dreamer		&nbsp;	Apr 1st 2002	Albany	New York
0	Diamond Dallas Page	def. (pin)	Christian		&nbsp;	Mar 28th 2002	East Rutherford	New Jersey
1	Jazz	def. (pin)	Molly Holly		&nbsp;	Mar 28th 2002	East Rutherford	New Jersey
2	Rikishi	def. (pin)	Tommy Dreamer		&nbsp;	Mar 28th 2002	East Rutherford	New Jersey
3	Billy	def. (pin)	Jeff Hardy		&nbsp;	Mar 28th 2002	East Rutherford	New Jersey
4	Brock Lesnar	def. (pin)	Spike Dudley		handicap tag	Mar 28th 2002	East Rutherford	New Jersey
5	Rob Van Dam	def. (pin)	William Regal		&nbsp;	Mar 28th 2002	East Rutherford	New Jersey
6	Booker T.	def. (pin)	Tazz		&nbsp;	Mar 28th 2002	East Rutherford	New Jersey
7	Bradshaw	def. (pin)	Bubba Ray Dudley		&nbsp;	Mar 28th 2002	East Rutherford	New Jersey
8	Hulk Hogan	def. (pin)	Kevin Nash		handicap tag	Mar 28th 2002	East Rutherford	New Jersey
0	Tajiri	def. (pin)	Billy Kidman		triple-threat	Mar 28th 2002	Jacksonville	Florida
1	Trish Stratus	def. (pin)	Ivory		&nbsp;	Mar 28th 2002	Jacksonville	Florida
2	Hugh Morrus	def. (pin)	Mr. Perfect		&nbsp;	Mar 28th 2002	Jacksonville	Florida
3	Lance Storm	def. (pin)	Randy Orton		&nbsp;	Mar 28th 2002	Jacksonville	Florida
4	Albert	def. (pin)	Goldust		&nbsp;	Mar 28th 2002	Jacksonville	Florida
5	Ric Flair	def. (pin)	The Undertaker		&nbsp;	Mar 28th 2002	Jacksonville	Florida
6	Val Venis	def. (pin)	Test		&nbsp;	Mar 28th 2002	Jacksonville	Florida
7	Chris Jericho	def. (pin)	Edge		&nbsp;	Mar 28th 2002	Jacksonville	Florida
8	Kane	def. (pin)	Kurt Angle		&nbsp;	Mar 28th 2002	Jacksonville	Florida
0	Tajiri	def. (pin)	Billy Kidman		handicap tag	Mar 27th 2002	Gainesville	Florida
1	Trish Stratus	def. (pin)	Ivory		&nbsp;	Mar 27th 2002	Gainesville	Florida
2	Hugh Morrus	def. (pin)	Mr. Perfect		&nbsp;	Mar 27th 2002	Gainesville	Florida
3	Lance Storm	def. (pin)	Randy Orton		&nbsp;	Mar 27th 2002	Gainesville	Florida
4	Goldust	def. (pin)	Albert		&nbsp;	Mar 27th 2002	Gainesville	Florida
5	Ric Flair	def. (pin)	The Undertaker		no disqualification	Mar 27th 2002	Gainesville	Florida
6	Test	def. (pin)	Val Venis		&nbsp;	Mar 27th 2002	Gainesville	Florida
7	Chris Jericho	def. (pin)	Edge		&nbsp;	Mar 27th 2002	Gainesville	Florida
8	Kane	def. (pin)	Kurt Angle		&nbsp;	Mar 27th 2002	Gainesville	Florida
0	Diamond Dallas Page	def. (pin)	Christian		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
1	Jazz	def. (pin)	Molly Holly		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
2	Billy	def. (pin)	Jeff Hardy		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
3	Brock Lesnar	def. (pin)	Spike Dudley		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
4	Rob Van Dam	def. (pin)	William Regal		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
5	Bradshaw	def. (pin)	Bubba Ray Dudley		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
6	Booker T.	def. (pin)	Tazz		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
7	Scott Hall	def. (pin)	Rikishi		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
8	Triple H	def. (pin)	Kevin Nash		&nbsp;	Mar 27th 2002	Wilkes-Barre	Pennsylvania
0	Diamond Dallas Page	def. (DQ)	Booker T.	02:00	&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
1	Billy	def. (pin)	Bubba Ray Dudley	03:54	&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
2	Hulk Hogan	def. (pin)	Kevin Nash	06:36	6-person tag	Mar 26th 2002	Philadelphia	Pennsylvania
3	Chris Jericho	def. (sub)	Matt Hardy	02:12	&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
4	Raven	def. (pin)	Maven	01:45	hardcore	Mar 26th 2002	Philadelphia	Pennsylvania
5	Kurt Angle	def. (pin)	Ric Flair	09:04	&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
0	Jazz	def. (sub)	Molly Holly		&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
1	Lance Storm	def. (pin)	Scotty Too Hotty		&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
2	Edge	def. (pin)	Goldust		&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
3	William Regal	def. (pin)	Tajiri		&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
4	Rob Van Dam	def. (pin)	Test	02:24	&nbsp;	Mar 26th 2002	Philadelphia	Pennsylvania
0	Tazz	def. (sub)	Mr. Perfect	01:51	&nbsp;	Mar 25th 2002	State College	Pennsylvania
1	Booker T.	def. (pin)	Diamond Dallas Page	02:12	&nbsp;	Mar 25th 2002	State College	Pennsylvania
2	Trish Stratus	def. (pin)	Ivory	02:11	&nbsp;	Mar 25th 2002	State College	Pennsylvania
3	Kevin Nash	def. (DQ)	Hulk Hogan	05:03	handicap tag	Mar 25th 2002	State College	Pennsylvania
4	Jeff Hardy	def. (pin)	Billy	01:51	&nbsp;	Mar 25th 2002	State College	Pennsylvania
5	Rob Van Dam	def. (DQ)	Kurt Angle	02:53	&nbsp;	Mar 25th 2002	State College	Pennsylvania
6	Triple H	def. (pin)	Chris Jericho	08:07	handicap tag	Mar 25th 2002	State College	Pennsylvania
0	Lance Storm	def. (pin)	Val Venis		&nbsp;	Mar 25th 2002	State College	Pennsylvania
1	Tommy Dreamer	def.	Raven		&nbsp;	Mar 25th 2002	State College	Pennsylvania
2	Test	def. (pin)	Spike Dudley		&nbsp;	Mar 25th 2002	State College	Pennsylvania
3	Sho Funaki	def. (pin)	Billy Kidman		&nbsp;	Mar 25th 2002	State College	Pennsylvania
0	Booker T.	def. (pin)	Edge	04:30	&nbsp;	Mar 19th 2002	Ottawa	Ontario
1	Lita	def. (pin)	Ivory	04:18	&nbsp;	Mar 19th 2002	Ottawa	Ontario
2	William Regal	def. (KO)	Diamond Dallas Page	03:54	&nbsp;	Mar 19th 2002	Ottawa	Ontario
3	Test	def. (pin)	Tajiri	03:54	&nbsp;	Mar 19th 2002	Ottawa	Ontario
4	The Hurricane	draw (NC)	Molly Holly	01:00	&nbsp;	Mar 19th 2002	Ottawa	Ontario
5	Billy	def. (pin)	Jeff Hardy	03:37	&nbsp;	Mar 19th 2002	Ottawa	Ontario
6	The Rock	def. (DQ)	Kevin Nash	07:12	&nbsp;	Mar 19th 2002	Ottawa	Ontario
0	Val Venis	def.	Lance Storm		&nbsp;	Mar 19th 2002	Ottawa	Ontario
1	Kane	def.	Bubba Ray Dudley		&nbsp;	Mar 19th 2002	Ottawa	Ontario
2	Rikishi	def.	Goldust		&nbsp;	Mar 19th 2002	Ottawa	Ontario
3	Rob Van Dam	def. (pin)	Mr. Perfect		&nbsp;	Mar 19th 2002	Ottawa	Ontario
0	Rob Van Dam	def.	Christian		&nbsp;	Mar 18th 2002	Montreal	Quebec
1	Lita	def.	Trish Stratus		&nbsp;	Mar 18th 2002	Montreal	Quebec
2	Edge	def. (pin)	Booker T.		&nbsp;	Mar 18th 2002	Montreal	Quebec
3	Maven	draw (NC)	Al Snow		hardcore	Mar 18th 2002	Montreal	Quebec
4	Billy	def.	Bubba Ray Dudley		&nbsp;	Mar 18th 2002	Montreal	Quebec
5	Hulk Hogan	def. (CO)	Kevin Nash		&nbsp;	Mar 18th 2002	Montreal	Quebec
0	Bradshaw	def.	Big Boss Man		&nbsp;	Mar 18th 2002	Montreal	Quebec
1	Val Venis	def.	Lance Storm		&nbsp;	Mar 18th 2002	Montreal	Quebec
2	Albert	def.	Crash Holly		&nbsp;	Mar 18th 2002	Montreal	Quebec
0	Albert	def. (pin)	Lance Storm		6-person tag	Mar 17th 2002	Toronto	Ontario
0	Rob Van Dam	def. (pin)	William Regal	06:19	&nbsp;	Mar 17th 2002	Toronto	Ontario
1	Diamond Dallas Page	def. (pin)	Christian	06:08	&nbsp;	Mar 17th 2002	Toronto	Ontario
2	Maven	draw (NC)	Goldust	03:15	hardcore	Mar 17th 2002	Toronto	Ontario
3	Spike Dudley	def. (pin)	Maven		hardcore	Mar 17th 2002	Toronto	Ontario
4	The Hurricane	def. (pin)	Spike Dudley		hardcore	Mar 17th 2002	Toronto	Ontario
5	Kurt Angle	def. (pin)	Kane	10:45	&nbsp;	Mar 17th 2002	Toronto	Ontario
6	The Undertaker	def. (pin)	Ric Flair	18:47	street fight	Mar 17th 2002	Toronto	Ontario
7	Edge	def. (pin)	Booker T.	06:32	&nbsp;	Mar 17th 2002	Toronto	Ontario
8	Mighty Molly	def. (pin)	The Hurricane		hardcore	Mar 17th 2002	Toronto	Ontario
9	Steve Austin	def. (pin)	Scott Hall	09:51	&nbsp;	Mar 17th 2002	Toronto	Ontario
10	Billy	def. (pin)	Bradshaw	13:50	fatal 4-way elimination tag	Mar 17th 2002	Toronto	Ontario
11	Christian	def. (pin)	Mighty Molly		hardcore	Mar 17th 2002	Toronto	Ontario
12	The Rock	def. (pin)	Hulk Hogan	16:32	&nbsp;	Mar 17th 2002	Toronto	Ontario
13	Jazz	def. (pin)	Lita	06:16	triple-threat	Mar 17th 2002	Toronto	Ontario
14	Maven	def. (pin)	Christian		hardcore	Mar 17th 2002	Toronto	Ontario
15	Triple H	def. (pin)	Chris Jericho	18:41	&nbsp;	Mar 17th 2002	Toronto	Ontario
0	Kurt Angle	def.	Rob Van Dam		&nbsp;	Mar 12th 2002	Cleveland	Ohio
1	Billy	def.	Bradshaw		four-way	Mar 12th 2002	Cleveland	Ohio
2	Maven	def. (pin)	Al Snow		hardcore	Mar 12th 2002	Cleveland	Ohio
3	Booker T.	def.	Edge		&nbsp;	Mar 12th 2002	Cleveland	Ohio
4	The Undertaker	def. (DQ)	David Flair		&nbsp;	Mar 12th 2002	Cleveland	Ohio
0	Val Venis	def.	Big Boss Man		&nbsp;	Mar 12th 2002	Cleveland	Ohio
1	Lance Storm	def.	Rikishi		&nbsp;	Mar 12th 2002	Cleveland	Ohio
2	Mr. Perfect	def.	The Godfather		&nbsp;	Mar 12th 2002	Cleveland	Ohio
3	Spike Dudley	def.	Crash Holly		&nbsp;	Mar 12th 2002	Cleveland	Ohio
0	Jeff Hardy	def. (pin)	Bubba Ray Dudley	03:52	6-person tag	Mar 11th 2002	Detroit	Michigan
1	Test	def. (pin)	Rikishi	01:57	&nbsp;	Mar 11th 2002	Detroit	Michigan
2	Al Snow	def. (pin)	Goldust	01:01	hardcore	Mar 11th 2002	Detroit	Michigan
3	Booker T.	def. (sub)	Edge	04:38	&nbsp;	Mar 11th 2002	Detroit	Michigan
4	Christian	def. (pin)	Billy	02:08	&nbsp;	Mar 11th 2002	Detroit	Michigan
5	Jazz	def. (pin)	Lita	02:24	&nbsp;	Mar 11th 2002	Detroit	Michigan
6	Hulk Hogan	def. (pin)	Steve Austin	09:13	handicap tag	Mar 11th 2002	Detroit	Michigan
0	The Hurricane	def. (pin)	Sho Funaki	03:06	&nbsp;	Mar 11th 2002	Detroit	Michigan
1	Lance Storm	def. (pin)	The Godfather	02:55	&nbsp;	Mar 11th 2002	Detroit	Michigan
2	Val Venis	def. (sub)	Perry Saturn	03:22	&nbsp;	Mar 11th 2002	Detroit	Michigan
3	Tajiri	def. (pin)	Crash Holly	03:42	&nbsp;	Mar 11th 2002	Detroit	Michigan
0	Rikishi	def. (pin)	Mr. Perfect		&nbsp;	Mar 10th 2002	Fort Wayne	Indiana
1	Jazz	def. (pin)	Trish Stratus		&nbsp;	Mar 10th 2002	Fort Wayne	Indiana
2	Brock Lesnar	def. (pin)	Crash Holly		&nbsp;	Mar 10th 2002	Fort Wayne	Indiana
3	Val Venis	def. (pin)	Lance Storm		&nbsp;	Mar 10th 2002	Fort Wayne	Indiana
4	Booker T.	def. (pin)	Bradshaw		6-person tag	Mar 10th 2002	Fort Wayne	Indiana
5	Kurt Angle	def. (pin)	Rob Van Dam		&nbsp;	Mar 10th 2002	Fort Wayne	Indiana
6	Chris Jericho	def. (pin)	Triple H		&nbsp;	Mar 10th 2002	Fort Wayne	Indiana
7	Steve Austin	def. (pin)	Scott Hall		&nbsp;	Mar 10th 2002	Fort Wayne	Indiana
0	Rikishi	def. (pin)	Mr. Perfect		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
1	X-Pac	def. (pin)	Randy Orton		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
2	Brock Lesnar	def. (pin)	Crash Holly		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
3	Spike Dudley	def. (pin)	Christian		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
4	Lance Storm	def. (pin)	Val Venis		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
5	Jazz	def. (pin)	Trish Stratus		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
6	Bradshaw	def. (pin)	Booker T.		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
7	Rob Van Dam	def. (pin)	Kurt Angle		&nbsp;	Mar 9th 2002	Kalamazoo	Michigan
0	Crash Holly	def. (pin)	Christian		&nbsp;	Mar 8th 2002	Sarnia	Ontario
1	Brock Lesnar	def. (pin)	Randy Orton		&nbsp;	Mar 8th 2002	Sarnia	Ontario
2	Jazz	def. (pin)	Trish Stratus		&nbsp;	Mar 8th 2002	Sarnia	Ontario
3	Test	def. (pin)	Faarooq		&nbsp;	Mar 8th 2002	Sarnia	Ontario
4	Lance Storm	def. (pin)	Bradshaw		&nbsp;	Mar 8th 2002	Sarnia	Ontario
5	X-Pac	def. (pin)	Spike Dudley		&nbsp;	Mar 8th 2002	Sarnia	Ontario
6	Rikishi	def. (pin)	Mr. Perfect		&nbsp;	Mar 8th 2002	Sarnia	Ontario
7	Val Venis	def. (pin)	Kurt Angle		&nbsp;	Mar 8th 2002	Sarnia	Ontario
0	Goldust	def.	Rob Van Dam		hardcore	Mar 7th 2002	San Antonio	Texas
1	The Undertaker	def.	Al Snow		handicap tag	Mar 7th 2002	San Antonio	Texas
2	Chris Jericho	def.	Kane		&nbsp;	Mar 7th 2002	San Antonio	Texas
3	Lita	def.	Stacy Keibler		&nbsp;	Mar 7th 2002	San Antonio	Texas
4	The Rock	def.	Scott Hall		&nbsp;	Mar 7th 2002	San Antonio	Texas
0	Diamond Dallas Page	def. (pin)	Lance Storm	05:49	&nbsp;	Mar 7th 2002	San Antonio	Texas
1	Booker T.	def.	Tajiri		&nbsp;	Mar 7th 2002	San Antonio	Texas
2	Bradshaw	def. (pin)	Chuck	04:28	&nbsp;	Mar 7th 2002	San Antonio	Texas
3	Mr. Perfect	def.	Rikishi		&nbsp;	Mar 7th 2002	San Antonio	Texas
0	Steve Austin		Booker T.	02:23	&nbsp;	Mar 4th 2002	Austin	Texas
1	Mr. Perfect	def. (pin)	Albert	02:18	&nbsp;	Mar 4th 2002	Austin	Texas
2	Goldust	def. (pin)	Tazz	02:09	hardcore	Mar 4th 2002	Austin	Texas
3	Jazz	def. (DQ)	Trish Stratus	03:15	&nbsp;	Mar 4th 2002	Austin	Texas
4	Rob Van Dam	def. (pin)	Lance Storm	05:43	&nbsp;	Mar 4th 2002	Austin	Texas
5	Scott Hall	def. (pin)	Spike Dudley	02:32	&nbsp;	Mar 4th 2002	Austin	Texas
6	Kurt Angle	def.	Triple H	15:34	steel cage	Mar 4th 2002	Austin	Texas
0	Val Venis	def.	Mike Anthony		&nbsp;	Mar 4th 2002	Austin	Texas
1	Perry Saturn	def.	Paul London		&nbsp;	Mar 4th 2002	Austin	Texas
2	Crash Holly	def.	Eddie Craven		&nbsp;	Mar 4th 2002	Austin	Texas
0	Funaki	def. (pin)	The Hurricane		&nbsp;	Mar 4th 2002	Kuala Lumpur	Federal Territory
